亜,ア アシア,つぐ,Asia; rank next; come after; -ous
刑,ケイ,,punish; penalty; sentence; punishment
啓,ケイ,ひらく さとす,disclose; open; say
圭,ケイ ケ,,square jewel; corner; angle; edge
契,ケイ,ちぎる,pledge; promise; vow
径,ケイ,みち こみち さしわたし ただちに,diameter; path; method
恵,ケイ エ,めぐむ めぐみ,favor; blessing; grace; kindness
慶,ケイ,よろこび,jubilation; congratulate; rejoice; be happy
慧,ケイ エ,さとい,wise
憩,ケイ,いこい いこう,recess; rest; relax; repose
掲,ケイ,かかげる,put up (a notice); put up; hoist; display; hang out; publish; describe
携,ケイ,たずさえる たずさわる,portable; carry (in hand); armed with; bring along
桂,ケイ,かつら,Japanese Judas-tree; cinnamon tree
渓,ケイ,たに たにがわ,mountain stream; valley
系,ケイ,,lineage; system
継,ケイ,つぐ まま-,inherit; succeed; patch; graft (tree)
茎,ケイ キョウ,くき,stalk; stem
蛍,ケイ,ほたる,lightning-bug; firefly
鶏,ケイ,にわとり とり,chicken
鯨,ゲイ,くじら,whale
撃,ゲキ,うつ,beat; attack; defeat; conquer
激,ゲキ,はげしい,violent; get excited; enraged; chafe; incite
傑,ケツ,,greatness; excellence
潔,ケツ,いさぎよい,undefiled; pure; clean; righteous; gallant
穴,ケツ,あな,hole; aperture; slit; cave; den
結,ケツ ケチ,むすぶ ゆう ゆわえる,tie; bind; contract; join; organize; do up hair; fasten
倹,ケン,つましい つづまやか,frugal; economy; thrifty
健,ケン,すこやか,healthy; health; strength; persistence
兼,ケン,かねる,concurrently; and
剣,ケン,つるぎ,sabre; sword; blade; clock hand
圏,ケン,かこい,sphere; circle; radius; range
堅,ケン,かたい,strict; hard; solid; tough; tight; reliable
嫌,ケン ゲン,きらう きらい いや,dislike; detest; hate
憲,ケン,,constitution; law
懸,ケン ケ,かける かかる,suspend; hang; 10%; install; depend; consult
検,ケン,しらべる,examination; investigate
献,ケン コン,たてまつる,offering; counter for drinks; present; offer
絹,ケン,きぬ,silk
謙,ケン,,self-effacing; humble oneself; condescend; be modest
遣,ケン,つかう つかわす やる,dispatch; send; give; donate; do; undertake
鍵,ケン,かぎ,key
顕,ケン,あきらか あらわれる,appear; existing
厳,ゲン ゴン,おごそか きびしい いかめしい いつくし,stern; strictness; severity; rigidity
幻,ゲン,まぼろし,phantasm; vision; dream; illusion; apparition
弦,ゲン,つる,bowstring; chord; hypotenuse
源,ゲン,みなもと,source; origin
玄,ゲン,,mysterious; occultness
孤,コ,,orphan; alone
己,コ キ,おのれ つちのと,self; snake; serpent
弧,コ,,arc; arch; bow
故,コ,ゆえ,happenstance; especially; intentionally; reason; cause; circumstances; the late; therefore; consequently
虎,コ,とら,tiger; drunkard
誇,コ,ほこる,boast; be proud; pride; triumphantly
顧,コ,かえりみる,look back; review; examine oneself; turn around
