愛,アイ,いとしい,love; affection; favourite
臓,ゾウ,はらわた,entrails; viscera; bowels
蔵,ゾウ ソウ,くら おさめる かくれる,storehouse; hide; own; have; possess
贈,ゾウ ソウ,おくる,presents; send; give to; award to; confer on; presenting something
造,ゾウ,つくる つくり,create; make; structure; physique
側,ソク,かわ がわ そば,side; lean; oppose; regret
則,ソク,のっとる,rule; follow; based on; model after
息,ソク,いき,breath; respiration; son; interest (on money)
束,ソク,たば たばねる つか つかねる,bundle; sheaf; ream; tie in bundles; govern; manage; control
測,ソク,はかる,fathom; plan; scheme; measure
速,ソク,はやい はや- はやめる すみやか,quick; fast
続,ゾク ショク コウ キョウ,つづく つづける つぐない,continue; series; sequel
卒,ソツ シュツ,そっする おえる おわる ついに にわか,graduate; soldier; private; die
存,ソン ゾン,,suppose; be aware of; believe; feel
孫,ソン,まご,grandchild; descendants
尊,ソン,たっとい とうとい たっとぶ とうとぶ,revered; valuable; precious; noble; exalted
損,ソン,そこなう そこなう そこねる,damage; loss; disadvantage; hurt; injure
村,ソン,むら,town; village
他,タ,ほか,other; another; the others
太,タイ タ,ふとい ふとる,plump; thick; big around
打,ダ ダアス,うつ うち- ぶつ,strike; hit; knock; pound; dozen
対,タイ ツイ,あいて こたえる そろい つれあい ならぶ むかう,vis-a-vis; opposite; even; equal; versus; anti-; compare
帯,タイ,おびる おび,sash; belt; obi; zone; region
替,タイ,かえる かえ- かわる,exchange; spare; substitute; per-
袋,タイ ダイ,ふくろ,sack; bag; pouch
退,タイ,しりぞく しりぞける ひく のく のける どく,retreat; withdraw; retire; resign; repel; expel; reject
宅,タク,,home; house; residence; our house; my husband
濯,タク,すすぐ ゆすぐ,laundry; wash; pour on; rinse
達,タツ ダ,,accomplished; reach; arrive; attain
谷,コク,たに きわまる,valley
単,タン,ひとえ,simple; one; single; merely
担,タン,かつぐ になう,shouldering; carry; raise; bear
探,タン,さぐる さがす,grope; search; look for
炭,タン,すみ,charcoal; coal
短,タン,みじかい,short; brevity; fault; defect; weak point
団,ダン トン,かたまり まるい,group; association
断,ダン,たつ ことわる さだめる,severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting
段,ダン タン,,grade; steps; stairs
談,ダン,,discuss; talk
値,チ,ね あたい,price; cost; value
恥,チ,はじる はじ はじらう はずかしい,shame; dishonor
池,チ,いけ,pond; cistern; pool; reservoir
置,チ,おく,placement; put; set; deposit; leave behind; keep; employ; pawn
遅,チ,おくれる おくらす おそい,slow; late; back; later
築,チク,きずく,fabricate; build; construct
畜,チク,,livestock; domestic fowl and animals
竹,チク,たけ,bamboo
仲,チュウ,なか,go-between; relationship
柱,チュウ,はしら,pillar; post; cylinder; support
虫,チュウ キ,むし,insect; bug; temper
駐,チュウ,,stop-over; reside in; resident
著,チョ チャク,あらわす いちじるしい,renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work
貯,チョ,ためる たくわえる,savings; store; lay in; keep; wear mustache
兆,チョウ,きざす きざし,portent; 10**12; trillion; sign; omen; symptoms
庁,チョウ テイ,やくしょ,government office
調,チョウ,しらべる しらべ ととのう ととのえる,tune; tone; meter; key (music); writing style; prepare; exorcise; investigate
超,チョウ,こえる こす,transcend; super-; ultra-
頂,チョウ,いただく いただき,place on the head; receive; top of head; top; summit; peak
直,チョク ジキ ジカ,ただちに なおす なおる なおき すぐ,straightaway; honesty; frankness; fix; repair
沈,チン ジン,しずむ しずめる,sink; be submerged; subside; be depressed; aloes
珍,チン,めずらしい たから,rare; curious; strange
追,ツイ,おう,chase; drive away; follow; pursue; meanwhile
痛,ツウ,いたい いたむ いたましい いためる,pain; hurt; damage; bruise
低,テイ,ひくい ひくめる ひくまる,lower; short; humble
停,テイ,とめる とまる,halt; stopping
定,テイ ジョウ,さだめる さだまる さだか,determine; fix; establish; decide
底,テイ,そこ,bottom; sole; depth; bottom price; base; kind; sort
庭,テイ,にわ,courtyard; garden; yard
程,テイ,ほど,extent; degree; law; formula; distance; limits; amount
泥,デイ ナイ デ ニ,どろ,mud; mire; adhere to; be attached to
